Título,Data,URL,Visualizações,Duração,Tipo
🔴 IRL NPC: ME VEJA SENDO UM NPC BEM LEGAL - EP 54,2025-03-31T19:41:37+00:00,https://www.youtube.com/watch?v=cwP6Ua5qGoM,1667,PT6H55M11S,none
🔴 LIVE INFINITA UMBANDU DIA 53: GRATIDAO 35 MIL FAN FIES COM UMBASHEY NO OUTLAST 2 E PRE TREINO DAMM,2025-03-30T20:20:32+00:00,https://www.youtube.com/watch?v=va8uRMFIGmY,5427,PT4H7M32S,none
"🔴 IRL NPC: ME VEJA SENDO UM NPC AUTISTE- EP 52, VAMOS APROVEITAR O SÁBADO PARA DOAR COM AMOR",2025-03-29T23:26:34+00:00,https://www.youtube.com/watch?v=8ua6zvHDE88,1883,PT7H43M58S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC AUTISTE- EP 51,2025-03-28T21:00:13+00:00,https://www.youtube.com/watch?v=FdzqVnGKkmI,1572,PT7H35M45S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC COM GRATIDÃO - EP 50,2025-03-28T02:54:51+00:00,https://www.youtube.com/watch?v=BbHqRfV0tfU,2614,PT7H58M54S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC AUTISTE- EP 49 COM MUITA GRATIDÃO DE DEUS!,2025-03-26T20:38:29+00:00,https://www.youtube.com/watch?v=wqQ0Z1slad4,1920,PT7H10M19S,none
🔴 LIVE INFINITA DIA 48 NA GYM COM FISICULTURISTA RENANPLAY,2025-03-26T02:22:24+00:00,https://www.youtube.com/watch?v=sRn886m73wI,9074,PT3H46M49S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC COM RENANPLAY- EP 46,2025-03-23T20:08:08+00:00,https://www.youtube.com/watch?v=1JPiChzWENs,1267,PT3H47M19S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL - EP 45,2025-03-22T17:50:23+00:00,https://www.youtube.com/watch?v=JwnfraVlpv0,1018,PT4H40M30S,none
🔴 IRL NPC: ME VEJA NA LIVE INFINITA SENDO NPC NATURE - EP 44,2025-03-21T20:27:08+00:00,https://www.youtube.com/watch?v=5WIq_8AgEjU,1451,PT7H54M39S,none
🔴 IRL NPC: SENDO NPC COM IMGORDON NO MUNDO GEARS OF WAR IV - EP 43,2025-03-21T07:21:59+00:00,https://www.youtube.com/watch?v=U0tVH4YiwT4,1601,PT3H18M45S,none
🔴 IRL SHORT: UM NPC DA LIVE INFINITA - EP 42,2025-03-19T17:13:00+00:00,https://www.youtube.com/watch?v=f4et2Eep_Ng,3174,PT4H46M48S,none
🔴 LIVE INFINITA DIA 41: TREINO NA GYM,2025-03-19T13:39:53+00:00,https://www.youtube.com/watch?v=K32qeIynW0I,3576,PT3H25M36S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL COM ENERGIA DO FIRE MOD - EP 41,2025-03-18T20:23:23+00:00,https://www.youtube.com/watch?v=MPbD7rwIBYA,2164,PT5H53M39S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL COM ENERGIA DO FIRE MOD - EP 40,2025-03-17T20:56:40+00:00,https://www.youtube.com/watch?v=5sfcfi2A9Es,1585,PT8H8M13S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL - EP 39,2025-03-17T02:14:53+00:00,https://www.youtube.com/watch?v=n624d0M8gxI,2888,PT11H54M59S,none
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL - EP 38,2025-03-16T05:27:46+00:00,https://www.youtube.com/watch?v=Mb5aH0WKI2s,1459,PT5H45M36S,none
🔴 IRL: VAMOS DORMIR JUNTO COM TUBARÃOPLAY AUTISTE - EP 37,2025-03-14T23:05:30+00:00,https://www.youtube.com/watch?v=JFrBxpV13bQ,2597,PT11H49M48S,none
🔴 IRL NPC NA LIVE INFINITA: SENDO NPC E COMENTANDO DE FORMA GENUÍNA - EP 36,2025-03-14T02:13:03+00:00,https://www.youtube.com/watch?v=WMQ-1_Xdbu0,2389,PT11H55M,none
"🔴 IRL: VAMOS DORMIR COM TUBARÃOPLAY AUTISTE NO QUARTO DO CHEIRO DO BUBUM DO MANSOPAY, EP 35",2025-03-12T20:56:33+00:00,https://www.youtube.com/watch?v=A6PaxaZi2nY,2742,PT11H31M25S,none
"🔴 IRL: VAMOS DORMIR COM TUBARÃOPLAY AUTISTE NO QUARTO DO CHEIRO DO BUBUM DO MANSOPAY, EP 35",2025-03-12T20:56:33+00:00,https://www.youtube.com/watch?v=A6PaxaZi2nY,2742,PT11H31M25S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 34, SAUDADES DO KOJIMA E KAUEC COM PETEKA",2025-03-11T20:27:27+00:00,https://www.youtube.com/watch?v=kC4ZD89E9r0,1246,PT7H47M33S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 30",2025-03-09T14:04:41+00:00,https://www.youtube.com/watch?v=vu3zvWLEmqE,1895,PT7H34M54S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 29",2025-03-08T13:19:49+00:00,https://www.youtube.com/watch?v=A2ZpIXjJtek,1853,PT7H41M29S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 28",2025-03-07T14:08:24+00:00,https://www.youtube.com/watch?v=aTur_wMUnHI,2485,PT8H35M20S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 27",2025-03-06T13:06:22+00:00,https://www.youtube.com/watch?v=wxv-Zq_fgkU,1560,PT7H55M24S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 26",2025-03-05T12:59:46+00:00,https://www.youtube.com/watch?v=Vnz8AjIL8tk,6131,PT11H54M59S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 25",2025-03-03T14:39:44+00:00,https://www.youtube.com/watch?v=5bPJ4WX0bgQ,1685,PT3H56M54S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 24",2025-03-03T05:10:43+00:00,https://www.youtube.com/watch?v=bPIsIIf2cmU,4800,PT11H54M59S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 23",2025-03-01T16:50:06+00:00,https://www.youtube.com/watch?v=QLacAtxJOXo,2673,PT11H54M59S,none
🔴 MANSOPLAY RENAN EM NPC: CROSSOVER,2025-03-01T08:05:56+00:00,https://www.youtube.com/watch?v=yCth_5UIgAs,1807,PT1H59M31S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 22",2025-02-28T12:26:09+00:00,https://www.youtube.com/watch?v=JwV6hcIw83s,4608,PT11H54M59S,none
NÃO DEIXE DE ACREDITAR EM MIM! #supersaiyan #podcast #autismo #humormemes #humorbrasil #memesbrasil,2025-02-27T12:14:43+00:00,https://www.youtube.com/watch?v=v7dBJbMCPbs,6078,PT58S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 21",2025-02-26T16:37:34+00:00,https://www.youtube.com/watch?v=dFNNyt6P7V4,2844,PT10H50M46S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 120 SENDO COTOCO",2025-02-25T16:13:24+00:00,https://www.youtube.com/watch?v=oioMai5tosg,3952,PT11H2M49S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 18",2025-02-23T22:38:22+00:00,https://www.youtube.com/watch?v=1ORvDqYqDfY,1502,PT5H48M57S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 17",2025-02-23T16:49:54+00:00,https://www.youtube.com/watch?v=vvU5VAL5vKs,2020,PT5H59M52S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 16",2025-02-22T17:50:25+00:00,https://www.youtube.com/watch?v=BWeWqCE49AA,3922,PT11H54M59S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 15: ESTUDEI DMS E TRAVOU A LIVE",2025-02-22T03:04:21+00:00,https://www.youtube.com/watch?v=CJ4IqBtiAN8,6946,PT11H54M59S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 14",2025-02-20T17:49:43+00:00,https://www.youtube.com/watch?v=hmmdtdSrejw,3714,PT11H20M51S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 13,  VIVENDO",2025-02-19T18:54:42+00:00,https://www.youtube.com/watch?v=1yG3Way9jMY,4446,PT11H55M,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 12….JA NÃO AGUENTO MAIS",2025-02-18T23:24:20+00:00,https://www.youtube.com/watch?v=Mk3MLIG4ciU,7857,PT11H54M59S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 10",2025-02-16T16:44:19+00:00,https://www.youtube.com/watch?v=3ZESSE47apU,5593,PT11H50M36S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 9",2025-02-15T16:39:49+00:00,https://www.youtube.com/watch?v=pJcht_DEAQE,6261,PT11H42M6S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 8",2025-02-14T17:12:31+00:00,https://www.youtube.com/watch?v=YBIB8GKnX_g,6612,PT11H47M40S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 7",2025-02-13T17:18:51+00:00,https://www.youtube.com/watch?v=jFIJCXEymYw,6378,PT11H55M,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 6",2025-02-12T17:02:43+00:00,https://www.youtube.com/watch?v=dsOTBPE1NuI,3486,PT9H40M49S,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 5",2025-02-11T18:46:07+00:00,https://www.youtube.com/watch?v=aGAXJZFyfd0,7078,PT11H55M,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA, NÃO CONSIGO FALAR COM VCS: EP 4",2025-02-10T20:32:20+00:00,https://www.youtube.com/watch?v=VhDiyninp7U,12905,PT11H55M,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO COMO STREAMER: EP 3",2025-02-09T18:19:45+00:00,https://www.youtube.com/watch?v=87FDSbL9P5w,12643,PT11H55M,none
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO COMO STREAMER",2025-02-07T16:03:18+00:00,https://www.youtube.com/watch?v=Fk5XLRzgCYo,18133,PT11H52M10S,none
🔴 IRL: TOMANDO CAFÉ COM FISICULTURISTA RENANPLAY E PROBLEMA SOBRE OS INSCRITOS,2025-02-06T14:37:09+00:00,https://www.youtube.com/watch?v=08m1kriOrUY,7578,PT2H15M,none
🔴 IRL: EM CASA COM FISICULTURISTA RENANPLAY,2025-02-05T18:29:21+00:00,https://www.youtube.com/watch?v=tIM33H88C8Y,4006,PT55M59S,none
🔴 RENAN PODERÁ DORMIR BEM AGORA E EU SÓ NA SENSAÇÃO,2025-02-05T13:14:18+00:00,https://www.youtube.com/watch?v=WeD3tc6BwkA,4142,PT4H42M13S,none
🔴 IRL: GYM COM FISICULTURISTA RENANPLAY,2025-02-04T20:24:31+00:00,https://www.youtube.com/watch?v=CS5RK4UfDW4,10276,PT2H23M29S,none
PORQUÊ EU DURMO COM HOMEM. #relacionamento #dicasderelacionamento #namoro #casal #gta5 #amizade #gta,2025-02-04T15:32:38+00:00,https://www.youtube.com/watch?v=6GGEFGrG080,3919,PT1M11S,none
🔴 IRL: NO QUARTO DO RENANPLAY EM GUARABIRA E ELE FOI DORMIR,2025-02-04T06:58:29+00:00,https://www.youtube.com/watch?v=gunPVibgvOY,5886,PT1H47M35S,none
🔴 IRL: NA POUSADA COM FISICULTURISTA RENANPLAY COM FEBRE,2025-02-03T08:27:07+00:00,https://www.youtube.com/watch?v=KriVYc0sFXs,31479,PT11H55M,none
Quando passei ortiga no bumbum antes de namorar. #historiadevida #comedia #humorbrasil #memesbrasil,2025-02-02T13:15:13+00:00,https://www.youtube.com/watch?v=FIeDfH0K354,3146,PT2M48S,none
🔴 IRL: CHEGAMOS NO SHOPPING JOÃO PESSOA COM O FISICULTURISTA RENAN,2025-02-01T20:26:48+00:00,https://www.youtube.com/watch?v=x8j7rk-BQdg,21484,PT5H30M52S,none
"🔴 THE EVIL WITHIN 2  DUBLADO HD PC NA SENSAÇÃO DO MEDO COM A VOLTA DA LUZ, YARMIM, BOY DM E RENANBI",2025-02-01T07:53:33+00:00,https://www.youtube.com/watch?v=8Q-5etKHXEc,15163,PT9H59M17S,none
🔴 CAIU A LUZ :(...DEFAFIO DO INDIANO E BATE PAPO COM RENANPLAY,2025-01-31T21:39:32+00:00,https://www.youtube.com/watch?v=1g2s8r9tino,7072,PT2H4M21S,none
"🔴THE EVIL WITHIN 2  DUBLADO HD PC NA SENSAÇÃO DO MEDO, MY SONHO É ZERAR ANTES DE VIAJAR NO COLO DELE",2025-01-31T19:15:50+00:00,https://www.youtube.com/watch?v=RaeZGaiLhq4,3528,PT2H52M34S,none
🔴 NÃO SEJA UMA PESSOA FRACA E NÃO DESCONTE NOS OUTROS ! #determinação #motivacao #foco #podcast,2025-01-30T14:30:15+00:00,https://www.youtube.com/watch?v=S_F6Ya4uuxs,4673,PT56S,none
"🔴 JUNTEI TODOS, ARRUMEI EVENTO E AGORA TUDO DEU RUIM. POXA, SÓ EU SOU PROFISSIONAL ?",2025-01-30T08:47:03+00:00,https://www.youtube.com/watch?v=gFJepsIUaeM,9395,PT5H37M59S,none
"REACT DO GOULART, HISTORIA DE VIDA, RENAN COM SOBRIN NO MATO E COMENDO OVO DE MILHO ACEBOLADO A CANA",2025-01-27T12:05:17+00:00,https://www.youtube.com/watch?v=PIIuleBiBQQ,6697,PT5H57M17S,none
"NUNCA PASSEI MAL TOMANDO LEITE, EM INGLÊS @sirmulim",2025-01-13T13:30:06+00:00,https://www.youtube.com/watch?v=kG09VMJGAKU,13482,PT28S,none
🔴 CALVOESFERA REUNIDA NO EVENTO DE ANIME,2025-01-11T22:47:13+00:00,https://www.youtube.com/watch?v=f3T5Rad5IP8,23709,PT2H46M40S,none
🔴CHAMEI O STRIKE POR ESTUDO E AGR TÔ DE VOLTA COM PRESENTE A VOCES: RENANPLAY NA MINHA CASA E DORMIU,2025-01-10T18:18:08+00:00,https://www.youtube.com/watch?v=r6XUn4BeKN8,23715,PT11H53M30S,none
🔴 LIVE RADIO TRISTE 5R ATÉ O @canaldoronaldinho5041 VOLTAR ! 1000 REAIS CERVEJA NO CU SEM EFEITO,2025-01-05T12:27:03+00:00,https://www.youtube.com/watch?v=SVmz3paSUEk,6295,PT9H47M11S,none
"🔴RÉVEILON NO GAME TERROR, FELIZ PRÉ ANO NOVO A TODOS COM MUITA GRATIDÃO SEM PASSAR MAL TOMANDO LEITE",2025-01-01T02:13:31+00:00,https://www.youtube.com/watch?v=OQE09J-SZ9c,3178,PT7H3M33S,none
