Título,Data,URL,Visualizações,Duração (s),Foi Live?
🔴 LIVE INFINITA DIA 55: DESAFIO DO OUTLAST AUTISTE MODE 2 NO DIA DO FALARO,2025-04-02T08:13:01+00:00,https://www.youtube.com/watch?v=K67FtSUkRiY,1799,4463,live
🔴 IRL NPC: ME VEJA SENDO UM NPC BEM LEGAL - EP 54,2025-03-31T19:41:37+00:00,https://www.youtube.com/watch?v=cwP6Ua5qGoM,1668,24911,live
🔴 LIVE INFINITA UMBANDU DIA 53: GRATIDAO 35 MIL FAN FIES COM UMBASHEY NO OUTLAST 2 E PRE TREINO DAMM,2025-03-30T20:20:32+00:00,https://www.youtube.com/watch?v=va8uRMFIGmY,5428,14852,live
"🔴 IRL NPC: ME VEJA SENDO UM NPC AUTISTE- EP 52, VAMOS APROVEITAR O SÁBADO PARA DOAR COM AMOR",2025-03-29T23:26:34+00:00,https://www.youtube.com/watch?v=8ua6zvHDE88,1883,27838,live
🔴 IRL NPC: ME VEJA SENDO UM NPC AUTISTE- EP 51,2025-03-28T21:00:13+00:00,https://www.youtube.com/watch?v=FdzqVnGKkmI,1572,27345,live
🔴 IRL NPC: ME VEJA SENDO UM NPC COM GRATIDÃO - EP 50,2025-03-28T02:54:51+00:00,https://www.youtube.com/watch?v=BbHqRfV0tfU,2614,28734,live
🔴 IRL NPC: ME VEJA SENDO UM NPC AUTISTE- EP 49 COM MUITA GRATIDÃO DE DEUS!,2025-03-26T20:38:29+00:00,https://www.youtube.com/watch?v=wqQ0Z1slad4,1920,25819,live
🔴 LIVE INFINITA DIA 48 NA GYM COM FISICULTURISTA RENANPLAY,2025-03-26T02:22:24+00:00,https://www.youtube.com/watch?v=sRn886m73wI,9075,13609,live
🔴 IRL NPC: ME VEJA SENDO UM NPC COM RENANPLAY- EP 46,2025-03-23T20:08:08+00:00,https://www.youtube.com/watch?v=1JPiChzWENs,1268,13639,live
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL - EP 45,2025-03-22T17:50:23+00:00,https://www.youtube.com/watch?v=JwnfraVlpv0,1019,16830,live
🔴 IRL NPC: ME VEJA NA LIVE INFINITA SENDO NPC NATURE - EP 44,2025-03-21T20:27:08+00:00,https://www.youtube.com/watch?v=5WIq_8AgEjU,1451,28479,live
🔴 IRL NPC: SENDO NPC COM IMGORDON NO MUNDO GEARS OF WAR IV - EP 43,2025-03-21T07:21:59+00:00,https://www.youtube.com/watch?v=U0tVH4YiwT4,1602,11925,live
🔴 IRL SHORT: UM NPC DA LIVE INFINITA - EP 42,2025-03-19T17:13:00+00:00,https://www.youtube.com/watch?v=f4et2Eep_Ng,3174,17208,live
🔴 LIVE INFINITA DIA 41: TREINO NA GYM,2025-03-19T13:39:53+00:00,https://www.youtube.com/watch?v=K32qeIynW0I,3576,12336,live
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL COM ENERGIA DO FIRE MOD - EP 41,2025-03-18T20:23:23+00:00,https://www.youtube.com/watch?v=MPbD7rwIBYA,2164,21219,live
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL COM ENERGIA DO FIRE MOD - EP 40,2025-03-17T20:56:40+00:00,https://www.youtube.com/watch?v=5sfcfi2A9Es,1587,29293,live
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL - EP 39,2025-03-17T02:14:53+00:00,https://www.youtube.com/watch?v=n624d0M8gxI,2888,42899,live
🔴 IRL NPC: ME VEJA SENDO UM NPC QUE FALA DE FORMA NATURAL - EP 38,2025-03-16T05:27:46+00:00,https://www.youtube.com/watch?v=Mb5aH0WKI2s,1460,20736,live
🔴 IRL: VAMOS DORMIR JUNTO COM TUBARÃOPLAY AUTISTE - EP 37,2025-03-14T23:05:30+00:00,https://www.youtube.com/watch?v=JFrBxpV13bQ,2598,42588,live
🔴 IRL NPC NA LIVE INFINITA: SENDO NPC E COMENTANDO DE FORMA GENUÍNA - EP 36,2025-03-14T02:13:03+00:00,https://www.youtube.com/watch?v=WMQ-1_Xdbu0,2390,42900,live
"🔴 IRL: VAMOS DORMIR COM TUBARÃOPLAY AUTISTE NO QUARTO DO CHEIRO DO BUBUM DO MANSOPAY, EP 35",2025-03-12T20:56:33+00:00,https://www.youtube.com/watch?v=A6PaxaZi2nY,2742,41485,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 34, SAUDADES DO KOJIMA E KAUEC COM PETEKA",2025-03-11T20:27:27+00:00,https://www.youtube.com/watch?v=kC4ZD89E9r0,1247,28053,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 30",2025-03-09T14:04:41+00:00,https://www.youtube.com/watch?v=vu3zvWLEmqE,1896,27294,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 29",2025-03-08T13:19:49+00:00,https://www.youtube.com/watch?v=A2ZpIXjJtek,1853,27689,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 28",2025-03-07T14:08:24+00:00,https://www.youtube.com/watch?v=aTur_wMUnHI,2485,30920,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 27",2025-03-06T13:06:22+00:00,https://www.youtube.com/watch?v=wxv-Zq_fgkU,1560,28524,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 26",2025-03-05T12:59:46+00:00,https://www.youtube.com/watch?v=Vnz8AjIL8tk,6131,42899,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 25",2025-03-03T14:39:44+00:00,https://www.youtube.com/watch?v=5bPJ4WX0bgQ,1685,14214,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 24",2025-03-03T05:10:43+00:00,https://www.youtube.com/watch?v=bPIsIIf2cmU,4800,42899,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 23",2025-03-01T16:50:06+00:00,https://www.youtube.com/watch?v=QLacAtxJOXo,2673,42899,live
🔴 MANSOPLAY RENAN EM NPC: CROSSOVER,2025-03-01T08:05:56+00:00,https://www.youtube.com/watch?v=yCth_5UIgAs,1808,7171,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 22",2025-02-28T12:26:09+00:00,https://www.youtube.com/watch?v=JwV6hcIw83s,4609,42899,live
NÃO DEIXE DE ACREDITAR EM MIM! #supersaiyan #podcast #autismo #humormemes #humorbrasil #memesbrasil,2025-02-27T12:14:43+00:00,https://www.youtube.com/watch?v=v7dBJbMCPbs,6220,58,upload
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 21",2025-02-26T16:37:34+00:00,https://www.youtube.com/watch?v=dFNNyt6P7V4,2845,39046,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 120 SENDO COTOCO",2025-02-25T16:13:24+00:00,https://www.youtube.com/watch?v=oioMai5tosg,3952,39769,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 18",2025-02-23T22:38:22+00:00,https://www.youtube.com/watch?v=1ORvDqYqDfY,1502,20937,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 17",2025-02-23T16:49:54+00:00,https://www.youtube.com/watch?v=vvU5VAL5vKs,2020,21592,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 16",2025-02-22T17:50:25+00:00,https://www.youtube.com/watch?v=BWeWqCE49AA,3922,42899,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 15: ESTUDEI DMS E TRAVOU A LIVE",2025-02-22T03:04:21+00:00,https://www.youtube.com/watch?v=CJ4IqBtiAN8,6946,42899,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 14",2025-02-20T17:49:43+00:00,https://www.youtube.com/watch?v=hmmdtdSrejw,3714,40851,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 13,  VIVENDO",2025-02-19T18:54:42+00:00,https://www.youtube.com/watch?v=1yG3Way9jMY,4447,42900,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 12….JA NÃO AGUENTO MAIS",2025-02-18T23:24:20+00:00,https://www.youtube.com/watch?v=Mk3MLIG4ciU,7857,42899,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 10",2025-02-16T16:44:19+00:00,https://www.youtube.com/watch?v=3ZESSE47apU,5593,42636,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 9",2025-02-15T16:39:49+00:00,https://www.youtube.com/watch?v=pJcht_DEAQE,6261,42126,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 8",2025-02-14T17:12:31+00:00,https://www.youtube.com/watch?v=YBIB8GKnX_g,6612,42460,live
"🔴 IRL: NPC NA LIVE INFINITA, ME VEJA VIVENDO SEM FALAR: EP 7",2025-02-13T17:18:51+00:00,https://www.youtube.com/watch?v=jFIJCXEymYw,6379,42900,live
